Date,drawdown,crash_st,crash_end,rank
1998/06/17,-0.10691420580684698,1998-06-17 00:00:00,1998-06-23 00:00:00,20
1998/07/16,-0.11568549823757093,1998-07-16 00:00:00,1998-07-27 00:00:00,13
1998/09/24,-0.10765819481125738,1998-09-24 00:00:00,1998-10-05 00:00:00,19
1999/10/25,-0.11322018818348022,1999-10-25 00:00:00,1999-11-01 00:00:00,14
2000/04/11,-0.18595737407790308,2000-04-11 00:00:00,2000-04-24 00:00:00,5
2000/05/09,-0.10294880471727183,2000-05-09 00:00:00,2000-05-12 00:00:00,22
2000/07/12,-0.15630463523521965,2000-07-12 00:00:00,2000-07-24 00:00:00,8
2000/09/12,-0.10481293703816484,2000-09-12 00:00:00,2000-09-19 00:00:00,21
2001/03/08,-0.1272609519757246,2001-03-08 00:00:00,2001-03-13 00:00:00,11
2001/04/06,-0.1096839988814318,2001-04-06 00:00:00,2001-04-12 00:00:00,18
2001/09/04,-0.17038621775657584,2001-09-04 00:00:00,2001-09-17 00:00:00,6
2002/05/13,-0.09540766769230317,2002-05-13 00:00:00,2002-05-23 00:00:00,26
2004/05/13,-0.16562922349595743,2004-05-13 00:00:00,2004-05-17 00:00:00,7
2006/05/17,-0.14209093938268016,2006-05-17 00:00:00,2006-05-22 00:00:00,9
2006/06/02,-0.11056205280822261,2006-06-02 00:00:00,2006-06-08 00:00:00,16
2008/01/11,-0.1967360343993548,2008-01-11 00:00:00,2008-01-22 00:00:00,3
2008/02/05,-0.1101180278592473,2008-02-05 00:00:00,2008-02-12 00:00:00,17
2008/06/17,-0.1013142896614052,2008-06-17 00:00:00,2008-06-24 00:00:00,23
2008/06/26,-0.10124523765448748,2008-06-26 00:00:00,2008-07-01 00:00:00,24
2008/07/09,-0.09942954257987975,2008-07-09 00:00:00,2008-07-16 00:00:00,25
2008/09/08,-0.11255086940464859,2008-09-08 00:00:00,2008-09-17 00:00:00,15
2008/10/01,-0.19361858319812372,2008-10-01 00:00:00,2008-10-10 00:00:00,4
2008/10/14,-0.13132441007472997,2008-10-14 00:00:00,2008-10-17 00:00:00,10
2008/10/21,-0.20347756186230237,2008-10-21 00:00:00,2008-10-27 00:00:00,1
2008/11/10,-0.1979042041053804,2008-11-10 00:00:00,2008-11-20 00:00:00,2
2009/01/06,-0.12234693677029979,2009-01-06 00:00:00,2009-01-13 00:00:00,12
2011/11/08,-0.09240029488309633,2011-11-08 00:00:00,2011-11-21 00:00:00,27
