Date,drawdown,crash_st,crash_end,rank
1986/09/04,-0.08386162142750898,1986-09-04 00:00:00,1986-09-12 00:00:00,15
1987/10/13,-0.30676669311187055,1987-10-13 00:00:00,1987-10-19 00:00:00,1
1987/10/23,-0.0803942848920714,1987-10-23 00:00:00,1987-10-26 00:00:00,17
1987/11/24,-0.06619709303157292,1987-11-24 00:00:00,1987-11-30 00:00:00,31
1988/01/07,-0.06851236729591909,1988-01-07 00:00:00,1988-01-08 00:00:00,28
1989/10/09,-0.07958340372906153,1989-10-09 00:00:00,1989-10-13 00:00:00,18
1990/07/30,-0.07084909128338954,1990-07-30 00:00:00,1990-08-07 00:00:00,23
1990/08/20,-0.06513229090165981,1990-08-20 00:00:00,1990-08-23 00:00:00,32
1990/10/08,-0.06286648150827942,1990-10-08 00:00:00,1990-10-11 00:00:00,36
1990/12/31,-0.062027698510224404,1990-12-31 00:00:00,1991-01-09 00:00:00,38
1994/03/23,-0.06272450508501334,1994-03-23 00:00:00,1994-03-30 00:00:00,37
1997/10/21,-0.11155770407580938,1997-10-21 00:00:00,1997-10-27 00:00:00,5
1998/07/30,-0.05978105709488741,1998-07-30 00:00:00,1998-08-04 00:00:00,41
1998/08/25,-0.12363405679169613,1998-08-25 00:00:00,1998-08-31 00:00:00,4
2000/01/14,-0.06097515464520569,2000-01-14 00:00:00,2000-01-24 00:00:00,39
2000/04/11,-0.08694104588774061,2000-04-11 00:00:00,2000-04-14 00:00:00,12
2000/10/04,-0.06953514294504855,2000-10-04 00:00:00,2000-10-12 00:00:00,26
2001/03/08,-0.059862316671655195,2001-03-08 00:00:00,2001-03-12 00:00:00,40
2001/09/05,-0.1791499725434816,2001-09-05 00:00:00,2001-09-21 00:00:00,3
2002/07/05,-0.09663517756810068,2002-07-05 00:00:00,2002-07-16 00:00:00,9
2002/07/17,-0.09834855672761621,2002-07-17 00:00:00,2002-07-23 00:00:00,8
2002/07/31,-0.07931698447259744,2002-07-31 00:00:00,2002-08-05 00:00:00,20
2002/08/26,-0.0685008736428374,2002-08-26 00:00:00,2002-09-03 00:00:00,29
2002/10/01,-0.06499103672793334,2002-10-01 00:00:00,2002-10-07 00:00:00,33
2007/08/08,-0.05945880672890942,2007-08-08 00:00:00,2007-08-16 00:00:00,42
2008/01/14,-0.06315154668772427,2008-01-14 00:00:00,2008-01-22 00:00:00,35
2008/09/26,-0.0697900586428981,2008-09-26 00:00:00,2008-09-29 00:00:00,25
2008/09/30,-0.22113582874247373,2008-09-30 00:00:00,2008-10-10 00:00:00,2
2008/10/13,-0.0862520029740578,2008-10-13 00:00:00,2008-10-15 00:00:00,13
2008/10/20,-0.08053805944547357,2008-10-20 00:00:00,2008-10-22 00:00:00,16
2008/11/04,-0.09656760194374038,2008-11-04 00:00:00,2008-11-06 00:00:00,10
2008/11/07,-0.07392257279467093,2008-11-07 00:00:00,2008-11-12 00:00:00,22
2008/11/13,-0.06357148037689925,2008-11-13 00:00:00,2008-11-17 00:00:00,34
2008/11/18,-0.10355915142882573,2008-11-18 00:00:00,2008-11-20 00:00:00,7
2008/11/28,-0.07701292462107946,2008-11-28 00:00:00,2008-12-01 00:00:00,21
2009/01/06,-0.09039944053268202,2009-01-06 00:00:00,2009-01-14 00:00:00,11
2009/02/24,-0.08501224687124671,2009-02-24 00:00:00,2009-03-03 00:00:00,14
2010/05/03,-0.06917253801434767,2010-05-03 00:00:00,2010-05-07 00:00:00,27
2010/06/23,-0.05942258589148342,2010-06-23 00:00:00,2010-07-02 00:00:00,43
2011/07/21,-0.06741295105105692,2011-07-21 00:00:00,2011-08-02 00:00:00,30
2015/08/17,-0.10708008076343388,2015-08-17 00:00:00,2015-08-25 00:00:00,6
2018/02/01,-0.07030134262980499,2018-02-01 00:00:00,2018-02-05 00:00:00,24
2018/12/18,-0.07955186665619536,2018-12-18 00:00:00,2018-12-24 00:00:00,19
