Date,drawdown,crash_st,crash_end,rank
1984/05/21,-0.08182803468208094,1984-05-21 00:00:00,1984-05-31 00:00:00,23
1984/07/04,-0.06974339693580227,1984-07-04 00:00:00,1984-07-12 00:00:00,30
1987/07/29,-0.0658386135705594,1987-07-29 00:00:00,1987-08-07 00:00:00,36
1987/10/13,-0.23342694238788186,1987-10-13 00:00:00,1987-10-20 00:00:00,1
1987/10/21,-0.13360428027574855,1987-10-21 00:00:00,1987-10-26 00:00:00,5
1987/10/30,-0.08098068350668651,1987-10-30 00:00:00,1987-11-04 00:00:00,24
1987/11/24,-0.06547865727310397,1987-11-24 00:00:00,1987-12-01 00:00:00,37
1990/08/15,-0.07337114276782931,1990-08-15 00:00:00,1990-08-23 00:00:00,28
1997/10/21,-0.09003233892726613,1997-10-21 00:00:00,1997-10-28 00:00:00,18
1998/08/25,-0.08582696661007345,1998-08-25 00:00:00,1998-09-01 00:00:00,20
1998/09/29,-0.09004247655959442,1998-09-29 00:00:00,1998-10-05 00:00:00,17
1999/07/15,-0.061733840304182455,1999-07-15 00:00:00,1999-07-26 00:00:00,44
1999/12/30,-0.06969495829846181,1999-12-30 00:00:00,2000-01-06 00:00:00,31
2001/03/08,-0.0632995735607676,2001-03-08 00:00:00,2001-03-14 00:00:00,38
2001/09/04,-0.11777827347758203,2001-09-04 00:00:00,2001-09-11 00:00:00,10
2001/09/17,-0.09496009308212044,2001-09-17 00:00:00,2001-09-21 00:00:00,16
2002/07/01,-0.06257202612147335,2002-07-01 00:00:00,2002-07-03 00:00:00,42
2002/07/05,-0.13456538694860914,2002-07-05 00:00:00,2002-07-15 00:00:00,4
2002/07/18,-0.12105275405487172,2002-07-18 00:00:00,2002-07-24 00:00:00,9
2002/11/28,-0.06221627562479086,2002-11-28 00:00:00,2002-12-10 00:00:00,43
2003/01/10,-0.12412873354973447,2003-01-10 00:00:00,2003-01-27 00:00:00,7
2003/03/03,-0.0674953184791163,2003-03-03 00:00:00,2003-03-10 00:00:00,34
2007/07/23,-0.0631439272144303,2007-07-23 00:00:00,2007-07-30 00:00:00,39
2008/01/14,-0.10256286500313722,2008-01-14 00:00:00,2008-01-21 00:00:00,13
2008/03/12,-0.06266889874125535,2008-03-12 00:00:00,2008-03-17 00:00:00,41
2008/09/02,-0.06760723753269166,2008-09-02 00:00:00,2008-09-05 00:00:00,33
2008/09/12,-0.0990824671848173,2008-09-12 00:00:00,2008-09-18 00:00:00,15
2008/09/25,-0.07278209435407214,2008-09-25 00:00:00,2008-09-29 00:00:00,29
2008/10/03,-0.07852216254204114,2008-10-03 00:00:00,2008-10-06 00:00:00,26
2008/10/07,-0.14617325556650937,2008-10-07 00:00:00,2008-10-10 00:00:00,2
2008/10/14,-0.12125501512217217,2008-10-14 00:00:00,2008-10-16 00:00:00,8
2008/11/04,-0.07912275029636817,2008-11-04 00:00:00,2008-11-06 00:00:00,25
2008/11/18,-0.1016003136472182,2008-11-18 00:00:00,2008-11-21 00:00:00,14
2009/01/06,-0.11162296396575073,2009-01-06 00:00:00,2009-01-15 00:00:00,11
2009/02/26,-0.10306105770704144,2009-02-26 00:00:00,2009-03-03 00:00:00,12
2010/04/29,-0.08808011620124455,2010-04-29 00:00:00,2010-05-07 00:00:00,19
2011/03/08,-0.0630201045732382,2011-03-08 00:00:00,2011-03-16 00:00:00,40
2011/07/28,-0.13693704124320435,2011-07-28 00:00:00,2011-08-08 00:00:00,3
2011/09/27,-0.06603828826701685,2011-09-27 00:00:00,2011-10-04 00:00:00,35
2011/11/11,-0.07534379970353706,2011-11-11 00:00:00,2011-11-24 00:00:00,27
2014/12/05,-0.0830688552598015,2014-12-05 00:00:00,2014-12-15 00:00:00,22
2015/08/10,-0.12430561947204817,2015-08-10 00:00:00,2015-08-24 00:00:00,6
2015/12/02,-0.08516990529409289,2015-12-02 00:00:00,2015-12-14 00:00:00,21
2018/01/29,-0.06910355561406918,2018-01-29 00:00:00,2018-02-06 00:00:00,32
