Date,drawdown,crash_st,crash_end,rank
1987/10/30,-0.11050123656157858,1987-10-30 00:00:00,1987-11-05 00:00:00,21
1987/11/27,-0.13632633363719232,1987-11-27 00:00:00,1987-12-07 00:00:00,11
1990/08/01,-0.10668973471741638,1990-08-01 00:00:00,1990-08-07 00:00:00,25
1990/08/16,-0.09802073515551367,1990-08-16 00:00:00,1990-08-23 00:00:00,34
1992/11/27,-0.16845674029948646,1992-11-27 00:00:00,1992-12-03 00:00:00,5
1993/03/09,-0.10039949323909036,1993-03-09 00:00:00,1993-03-15 00:00:00,31
1994/01/04,-0.09831897512869495,1994-01-04 00:00:00,1994-01-07 00:00:00,33
1994/01/10,-0.10472515374046258,1994-01-10 00:00:00,1994-01-13 00:00:00,28
1994/03/14,-0.13157179391434676,1994-03-14 00:00:00,1994-03-21 00:00:00,13
1994/11/16,-0.10594026128955282,1994-11-16 00:00:00,1994-11-23 00:00:00,26
1997/08/25,-0.1393175250515644,1997-08-25 00:00:00,1997-09-01 00:00:00,9
1997/10/08,-0.09800854567510196,1997-10-08 00:00:00,1997-10-15 00:00:00,35
1997/10/17,-0.23341667487684725,1997-10-17 00:00:00,1997-10-23 00:00:00,3
1997/10/24,-0.1870372702163679,1997-10-24 00:00:00,1997-10-28 00:00:00,4
1997/11/03,-0.11215358796030715,1997-11-03 00:00:00,1997-11-10 00:00:00,19
1997/12/08,-0.11112439349907975,1997-12-08 00:00:00,1997-12-11 00:00:00,20
1997/12/30,-0.24491409264744038,1997-12-30 00:00:00,1998-01-12 00:00:00,2
1998/08/27,-0.10860825885358955,1998-08-27 00:00:00,1998-09-01 00:00:00,23
2000/01/03,-0.12760204335900335,2000-01-03 00:00:00,2000-01-06 00:00:00,14
2000/03/28,-0.10836425938125105,2000-03-28 00:00:00,2000-04-05 00:00:00,24
2000/04/12,-0.10947155043964651,2000-04-12 00:00:00,2000-04-17 00:00:00,22
2000/09/06,-0.11616265499057458,2000-09-06 00:00:00,2000-09-18 00:00:00,16
2000/10/05,-0.092938489793855,2000-10-05 00:00:00,2000-10-13 00:00:00,37
2008/01/09,-0.11460809806005487,2008-01-09 00:00:00,2008-01-16 00:00:00,18
2008/01/18,-0.13666598547631903,2008-01-18 00:00:00,2008-01-22 00:00:00,10
2008/02/04,-0.09651497979679798,2008-02-04 00:00:00,2008-02-11 00:00:00,36
2008/03/12,-0.09982386423968753,2008-03-12 00:00:00,2008-03-17 00:00:00,32
2008/09/08,-0.1520519193177905,2008-09-08 00:00:00,2008-09-18 00:00:00,7
2008/10/02,-0.15261996667899316,2008-10-02 00:00:00,2008-10-08 00:00:00,6
2008/10/14,-0.1353702267061236,2008-10-14 00:00:00,2008-10-17 00:00:00,12
2008/10/20,-0.28109163850806357,2008-10-20 00:00:00,2008-10-27 00:00:00,1
2008/11/10,-0.10331085188894998,2008-11-10 00:00:00,2008-11-13 00:00:00,30
2009/01/05,-0.12177742506987856,2009-01-05 00:00:00,2009-01-13 00:00:00,15
2011/08/01,-0.14705094821806136,2011-08-01 00:00:00,2011-08-09 00:00:00,8
2011/09/27,-0.10370789463111356,2011-09-27 00:00:00,2011-10-04 00:00:00,29
2015/07/02,-0.10523270902500849,2015-07-02 00:00:00,2015-07-08 00:00:00,27
2015/08/13,-0.1152110171207636,2015-08-13 00:00:00,2015-08-24 00:00:00,17
