Date,drawdown,crash_st,crash_end,rank
1997/08/12,-0.10923496102413278,1997-08-12 00:00:00,1997-08-19 00:00:00,26
1997/08/27,-0.13762952360510375,1997-08-27 00:00:00,1997-09-02 00:00:00,14
1997/10/21,-0.13005082579710775,1997-10-21 00:00:00,1997-10-28 00:00:00,18
1997/11/17,-0.10984260441430697,1997-11-17 00:00:00,1997-11-21 00:00:00,24
1997/12/09,-0.20202302864410934,1997-12-09 00:00:00,1997-12-15 00:00:00,4
1998/01/05,-0.16517778192272023,1998-01-05 00:00:00,1998-01-09 00:00:00,6
1998/02/06,-0.17395399243734683,1998-02-06 00:00:00,1998-02-12 00:00:00,5
1998/04/28,-0.14623145969158932,1998-04-28 00:00:00,1998-05-06 00:00:00,12
1998/07/29,-0.16085890568697486,1998-07-29 00:00:00,1998-08-11 00:00:00,9
1998/08/19,-0.16474664694572488,1998-08-19 00:00:00,1998-08-28 00:00:00,8
1998/09/10,-0.21522524715266855,1998-09-10 00:00:00,1998-09-21 00:00:00,3
1999/01/07,-0.1647857899952579,1999-01-07 00:00:00,1999-01-25 00:00:00,7
2000/09/05,-0.14085683229987436,2000-09-05 00:00:00,2000-09-18 00:00:00,13
2001/09/19,-0.12063440301192377,2001-09-19 00:00:00,2001-10-03 00:00:00,20
2002/10/08,-0.1606185162087565,2002-10-08 00:00:00,2002-10-14 00:00:00,10
2004/04/27,-0.13559831207234185,2004-04-27 00:00:00,2004-05-10 00:00:00,16
2005/08/10,-0.12014658384424566,2005-08-10 00:00:00,2005-08-24 00:00:00,21
2007/08/13,-0.13693249797950452,2007-08-13 00:00:00,2007-08-16 00:00:00,15
2008/01/17,-0.1339062891839501,2008-01-17 00:00:00,2008-01-22 00:00:00,17
2008/09/08,-0.15640055174204,2008-09-08 00:00:00,2008-09-15 00:00:00,11
2008/09/24,-0.22929141513434714,2008-09-24 00:00:00,2008-10-08 00:00:00,2
2008/10/10,-0.23440532441782033,2008-10-10 00:00:00,2008-10-28 00:00:00,1
2010/05/18,-0.11293088563962253,2010-05-18 00:00:00,2010-05-25 00:00:00,22
2011/08/01,-0.10929497540616125,2011-08-01 00:00:00,2011-08-09 00:00:00,25
2011/09/16,-0.12151652117058352,2011-09-16 00:00:00,2011-09-22 00:00:00,19
2013/08/14,-0.11165528127852696,2013-08-14 00:00:00,2013-08-20 00:00:00,23
