Date,drawdown,crash_st,crash_end,rank
1994/11/03,-0.08907091304845922,1994-11-03 00:00:00,1994-03-21 00:00:00,23
1994/11/30,-0.11583903349027273,1994-11-30 00:00:00,1994-12-12 00:00:00,15
1995/01/17,-0.0926777159135051,1995-01-17 00:00:00,1995-01-24 00:00:00,22
1997/07/29,-0.08387859753201293,1997-07-29 00:00:00,1997-05-08 00:00:00,26
1997/08/20,-0.2134858052647999,1997-08-20 00:00:00,1997-04-09 00:00:00,3
1997/10/12,-0.14465082657615197,1997-10-12 00:00:00,1997-12-16 00:00:00,7
1997/10/16,-0.13669235181167552,1997-10-16 00:00:00,1997-10-24 00:00:00,9
1997/11/11,-0.22508628283440915,1997-11-11 00:00:00,1997-11-20 00:00:00,1
1997/11/24,-0.0779045515887622,1997-11-24 00:00:00,1997-11-26 00:00:00,29
1997/12/31,-0.19660520826323943,1997-12-31 00:00:00,1998-12-01 00:00:00,4
1998/02/07,-0.12101631116687579,1998-02-07 00:00:00,1998-07-14 00:00:00,14
1998/02/27,-0.07980036492433189,1998-02-27 00:00:00,1998-09-03 00:00:00,28
1998/03/25,-0.09909335215396725,1998-03-25 00:00:00,1998-06-04 00:00:00,18
1998/04/08,-0.13388883138391472,1998-04-08 00:00:00,1998-11-08 00:00:00,11
1998/05/21,-0.12738789124355648,1998-05-21 00:00:00,1998-01-06 00:00:00,13
1998/07/09,-0.2145778097335191,1998-07-09 00:00:00,1998-08-09 00:00:00,2
1998/07/24,-0.07750956022944538,1998-07-24 00:00:00,1998-07-29 00:00:00,31
1998/08/20,-0.09639927073837748,1998-08-20 00:00:00,1998-08-24 00:00:00,21
1998/08/26,-0.19042189281641966,1998-08-26 00:00:00,1998-01-09 00:00:00,5
1998/09/06,-0.1380428763547188,1998-09-06 00:00:00,1998-06-16 00:00:00,8
1998/10/02,-0.10858235587217366,1998-10-02 00:00:00,1998-02-16 00:00:00,16
1999/02/23,-0.08806126619165221,1999-02-23 00:00:00,1999-03-03 00:00:00,25
1999/03/08,-0.10707699708688563,1999-03-08 00:00:00,1999-09-08 00:00:00,17
1999/04/02,-0.08872029377121878,1999-04-02 00:00:00,1999-08-02 00:00:00,24
1999/09/21,-0.08137427296090893,1999-09-21 00:00:00,1999-09-28 00:00:00,27
2001/02/04,-0.14967575375726092,2001-02-04 00:00:00,2001-09-04 00:00:00,6
2001/07/09,-0.1277686069044714,2001-07-09 00:00:00,2001-09-18 00:00:00,12
2002/09/17,-0.07781543274244007,2002-09-17 00:00:00,2002-09-25 00:00:00,30
2007/02/23,-0.13461950805238918,2007-02-23 00:00:00,2007-05-03 00:00:00,10
2008/06/03,-0.09730781955697129,2008-06-03 00:00:00,2008-10-03 00:00:00,19
2008/10/21,-0.09666071272980745,2008-10-21 00:00:00,2008-10-29 00:00:00,20
