Date,drawdown,crash_st,crash_end,rank
1986/09/04,-0.10868920086689259,1986-09-04 00:00:00,1986-09-15 00:00:00,29
1987/10/13,-0.28459966276598225,1987-10-13 00:00:00,1987-10-20 00:00:00,1
1987/10/21,-0.19117644660017916,1987-10-21 00:00:00,1987-10-26 00:00:00,3
1990/07/25,-0.11938013734347527,1990-07-25 00:00:00,1990-08-06 00:00:00,20
1990/08/15,-0.14472452727747165,1990-08-15 00:00:00,1990-08-23 00:00:00,9
1997/10/21,-0.11923824965767028,1997-10-21 00:00:00,1997-10-27 00:00:00,21
1998/08/25,-0.17863652125708682,1998-08-25 00:00:00,1998-08-31 00:00:00,4
1998/10/02,-0.11560272540860589,1998-10-02 00:00:00,1998-10-08 00:00:00,23
2000/01/03,-0.1186476854773749,2000-01-03 00:00:00,2000-01-06 00:00:00,22
2000/03/10,-0.09965869393115663,2000-03-10 00:00:00,2000-03-15 00:00:00,38
2000/04/07,-0.25249034220555916,2000-04-07 00:00:00,2000-04-14 00:00:00,2
2000/05/05,-0.12027842025458711,2000-05-05 00:00:00,2000-05-10 00:00:00,19
2000/05/16,-0.10591216388007357,2000-05-16 00:00:00,2000-05-19 00:00:00,30
2000/07/25,-0.10039862594528681,2000-07-25 00:00:00,2000-07-28 00:00:00,35
2000/09/28,-0.09981069857091625,2000-09-28 00:00:00,2000-10-03 00:00:00,37
2000/10/20,-0.10096597220879444,2000-10-20 00:00:00,2000-10-25 00:00:00,34
2000/11/03,-0.14608758450882386,2000-11-03 00:00:00,2000-11-13 00:00:00,8
2000/11/24,-0.11432499989025083,2000-11-24 00:00:00,2000-11-30 00:00:00,24
2000/12/11,-0.14457882570375047,2000-12-11 00:00:00,2000-12-15 00:00:00,10
2000/12/18,-0.1308526275062891,2000-12-18 00:00:00,2000-12-20 00:00:00,13
2000/12/28,-0.13626444322332062,2000-12-28 00:00:00,2001-01-02 00:00:00,12
2001/01/03,-0.10304218395017192,2001-01-03 00:00:00,2001-01-05 00:00:00,32
2001/02/15,-0.14281496281387765,2001-02-15 00:00:00,2001-02-22 00:00:00,11
2001/03/07,-0.15809298936588465,2001-03-07 00:00:00,2001-03-12 00:00:00,7
2001/03/27,-0.09938177463116629,2001-03-27 00:00:00,2001-03-29 00:00:00,39
2001/03/30,-0.12871444462100748,2001-03-30 00:00:00,2001-04-04 00:00:00,15
2001/04/19,-0.09782011035960886,2001-04-19 00:00:00,2001-04-24 00:00:00,42
2001/05/24,-0.111996284041381,2001-05-24 00:00:00,2001-05-30 00:00:00,26
2001/06/12,-0.10018198198448325,2001-06-12 00:00:00,2001-06-18 00:00:00,36
2001/09/10,-0.17463146894332598,2001-09-10 00:00:00,2001-09-21 00:00:00,5
2002/06/17,-0.0993817130219076,2002-06-17 00:00:00,2002-06-21 00:00:00,40
2002/07/17,-0.1282345240608368,2002-07-17 00:00:00,2002-07-23 00:00:00,16
2002/07/30,-0.12574969387392942,2002-07-30 00:00:00,2002-08-05 00:00:00,17
2007/11/06,-0.10872895774364752,2007-11-06 00:00:00,2007-11-12 00:00:00,28
2008/08/28,-0.10107457835820886,2008-08-28 00:00:00,2008-09-09 00:00:00,33
2008/09/25,-0.1134188731844835,2008-09-25 00:00:00,2008-09-29 00:00:00,25
2008/09/30,-0.16596327936272584,2008-09-30 00:00:00,2008-10-07 00:00:00,6
2008/10/13,-0.12962914919796795,2008-10-13 00:00:00,2008-10-15 00:00:00,14
2008/11/04,-0.09897711159645195,2008-11-04 00:00:00,2008-11-06 00:00:00,41
2008/11/18,-0.10317109236426565,2008-11-18 00:00:00,2008-11-20 00:00:00,31
2011/08/03,-0.10917164055120783,2011-08-03 00:00:00,2011-08-08 00:00:00,27
2015/08/17,-0.12045673804500336,2015-08-17 00:00:00,2015-08-25 00:00:00,18
