Date,drawdown,crash_st,crash_end,rank
1990/03/15,-0.08656745504343652,1990-03-15 00:00:00,1990-03-22 00:00:00,30
1990/03/26,-0.12055153337121827,1990-03-26 00:00:00,1990-04-02 00:00:00,8
1990/07/31,-0.10899042668973351,1990-07-31 00:00:00,1990-08-07 00:00:00,13
1990/08/15,-0.15560862772597073,1990-08-15 00:00:00,1990-08-23 00:00:00,4
1990/08/31,-0.08339472632948362,1990-08-31 00:00:00,1990-09-06 00:00:00,37
1990/09/21,-0.14954984081117206,1990-09-21 00:00:00,1990-10-01 00:00:00,5
1992/04/03,-0.105689175523947,1992-04-03 00:00:00,1992-04-09 00:00:00,14
1995/01/11,-0.09018508382496862,1995-01-11 00:00:00,1995-01-23 00:00:00,26
1997/01/06,-0.11016916635811996,1997-01-06 00:00:00,1997-01-10 00:00:00,11
1997/12/17,-0.10529313710274044,1997-12-17 00:00:00,1997-12-22 00:00:00,15
2000/04/12,-0.08945771309791739,2000-04-12 00:00:00,2000-04-18 00:00:00,27
2000/05/02,-0.08443343422824308,2000-05-02 00:00:00,2000-05-11 00:00:00,33
2000/05/16,-0.08585198034328036,2000-05-16 00:00:00,2000-05-24 00:00:00,32
2000/12/13,-0.11507064312135522,2000-12-13 00:00:00,2000-12-21 00:00:00,9
2002/08/26,-0.09859713966871114,2002-08-26 00:00:00,2002-09-04 00:00:00,18
2004/04/26,-0.10516286237522111,2004-04-26 00:00:00,2004-05-10 00:00:00,16
2007/02/26,-0.08636120869306564,2007-02-26 00:00:00,2007-03-05 00:00:00,31
2007/08/14,-0.09326008410331568,2007-08-14 00:00:00,2007-08-17 00:00:00,22
2007/11/01,-0.10336272213967514,2007-11-01 00:00:00,2007-11-13 00:00:00,17
2008/01/18,-0.09293797549689937,2008-01-18 00:00:00,2008-01-22 00:00:00,23
2008/03/12,-0.08347790021303841,2008-03-12 00:00:00,2008-03-17 00:00:00,35
2008/06/18,-0.0840618397439838,2008-06-18 00:00:00,2008-07-04 00:00:00,34
2008/10/01,-0.27197039315084903,2008-10-01 00:00:00,2008-10-10 00:00:00,1
2008/10/15,-0.11406368002616242,2008-10-15 00:00:00,2008-10-16 00:00:00,10
2008/10/21,-0.2303129722498322,2008-10-21 00:00:00,2008-10-27 00:00:00,2
2008/11/05,-0.09854180872882287,2008-11-05 00:00:00,2008-11-07 00:00:00,19
2008/11/10,-0.09280367397587672,2008-11-10 00:00:00,2008-11-13 00:00:00,24
2008/11/17,-0.09616102535845253,2008-11-17 00:00:00,2008-11-20 00:00:00,20
2009/01/07,-0.08932878213977186,2009-01-07 00:00:00,2009-01-13 00:00:00,29
2009/06/30,-0.09119001698943734,2009-06-30 00:00:00,2009-07-13 00:00:00,25
2011/03/09,-0.18738841390056196,2011-03-09 00:00:00,2011-03-15 00:00:00,3
2014/01/29,-0.08940772632265732,2014-01-29 00:00:00,2014-02-04 00:00:00,28
2015/08/17,-0.13644641623958487,2015-08-17 00:00:00,2015-08-25 00:00:00,6
2015/12/30,-0.09534399287198002,2015-12-30 00:00:00,2016-01-12 00:00:00,21
2016/02/08,-0.1206571475901252,2016-02-08 00:00:00,2016-02-12 00:00:00,7
2016/03/28,-0.08281651791921062,2016-03-28 00:00:00,2016-04-06 00:00:00,38
2016/04/22,-0.08341279394561633,2016-04-22 00:00:00,2016-05-06 00:00:00,36
2018/12/17,-0.10932039101412125,2018-12-17 00:00:00,2018-12-25 00:00:00,12
