Date,drawdown,crash_st,crash_end,rank
1962/05/03,-0.05831951087208047,1962-05-03 00:00:00,1962-05-11 00:00:00,71
1962/05/15,-0.13672423181328,1962-05-15 00:00:00,1962-05-28 00:00:00,4
1962/06/08,-0.07048757792151278,1962-06-08 00:00:00,1962-06-14 00:00:00,42
1962/06/15,-0.06387545292316077,1962-06-15 00:00:00,1962-06-26 00:00:00,57
1962/10/15,-0.06600310808451207,1962-10-15 00:00:00,1962-10-23 00:00:00,50
1966/04/21,-0.06600300943525246,1966-04-21 00:00:00,1966-05-09 00:00:00,51
1966/08/12,-0.06083921031235305,1966-08-12 00:00:00,1966-08-23 00:00:00,65
1969/07/17,-0.06558060639973674,1969-07-17 00:00:00,1969-07-29 00:00:00,52
1970/04/20,-0.06477927147199666,1970-04-20 00:00:00,1970-04-28 00:00:00,56
1970/05/18,-0.062369998211668325,1970-05-18 00:00:00,1970-05-21 00:00:00,59
1974/01/03,-0.07424853484222842,1974-01-03 00:00:00,1974-01-10 00:00:00,34
1974/07/24,-0.07530300212502652,1974-07-24 00:00:00,1974-08-02 00:00:00,32
1974/08/07,-0.1531760882474026,1974-08-07 00:00:00,1974-08-29 00:00:00,3
1974/09/06,-0.08709046729460822,1974-09-06 00:00:00,1974-09-13 00:00:00,25
1974/09/20,-0.11206159270119188,1974-09-20 00:00:00,1974-10-03 00:00:00,10
1974/11/11,-0.09647371666071279,1974-11-11 00:00:00,1974-11-20 00:00:00,18
1975/07/15,-0.07760693360938245,1975-07-15 00:00:00,1975-07-29 00:00:00,29
1978/10/11,-0.07059495275258525,1978-10-11 00:00:00,1978-10-20 00:00:00,41
1979/10/05,-0.07261611591487682,1979-10-05 00:00:00,1979-10-16 00:00:00,39
1980/03/19,-0.058383636437228166,1980-03-19 00:00:00,1980-03-27 00:00:00,70
1980/11/28,-0.09365216784366162,1980-11-28 00:00:00,1980-12-11 00:00:00,20
1982/08/02,-0.06019457532956748,1982-08-02 00:00:00,1982-08-12 00:00:00,67
1986/09/04,-0.091242184995925,1986-09-04 00:00:00,1986-09-12 00:00:00,21
1987/04/08,-0.06088947517696715,1987-04-08 00:00:00,1987-04-14 00:00:00,63
1987/10/13,-0.2851328886444797,1987-10-13 00:00:00,1987-10-19 00:00:00,1
1987/10/21,-0.11885597339469048,1987-10-21 00:00:00,1987-10-26 00:00:00,8
1987/11/05,-0.0608299129335101,1987-11-05 00:00:00,1987-11-10 00:00:00,66
1987/11/24,-0.06530295898901313,1987-11-24 00:00:00,1987-11-30 00:00:00,53
1988/01/07,-0.06768304487769054,1988-01-07 00:00:00,1988-01-08 00:00:00,44
1989/10/09,-0.07267925200709009,1989-10-09 00:00:00,1989-10-13 00:00:00,38
1990/07/31,-0.060985543635864746,1990-07-31 00:00:00,1990-08-06 00:00:00,62
1990/08/20,-0.06529485052829902,1990-08-20 00:00:00,1990-08-23 00:00:00,54
1997/10/21,-0.09800678421627848,1997-10-21 00:00:00,1997-10-27 00:00:00,17
1998/07/30,-0.061971178998720684,1998-07-30 00:00:00,1998-08-04 00:00:00,60
1998/08/25,-0.12405174541542009,1998-08-25 00:00:00,1998-08-31 00:00:00,6
1998/09/29,-0.059703345795059266,1998-09-29 00:00:00,1998-10-01 00:00:00,68
1999/10/08,-0.06632384595554185,1999-10-08 00:00:00,1999-10-15 00:00:00,49
2000/04/07,-0.10537799289680608,2000-04-07 00:00:00,2000-04-14 00:00:00,14
