Date,drawdown,crash_st,crash_end,rank
1994/01/10,-0.09466259693119947,1994-01-10 00:00:00,1994-01-13 00:00:00,16
1994/03/04,-0.0944143022325002,1994-03-04 00:00:00,1994-03-21 00:00:00,17
1995/01/16,-0.09039574831545981,1995-01-16 00:00:00,1995-01-23 00:00:00,20
1997/10/17,-0.11469847871292553,1997-10-17 00:00:00,1997-10-24 00:00:00,10
1997/10/27,-0.07586888079511087,1997-10-27 00:00:00,1997-10-28 00:00:00,32
1997/12/08,-0.10937499999999999,1997-12-08 00:00:00,1997-12-16 00:00:00,12
1997/12/31,-0.2982742842201595,1997-12-31 00:00:00,1998-01-12 00:00:00,1
1998/02/11,-0.08616542280885713,1998-02-11 00:00:00,1998-02-16 00:00:00,25
1998/04/29,-0.13336573220336723,1998-04-29 00:00:00,1998-05-14 00:00:00,4
1998/05/25,-0.08178664881640617,1998-05-25 00:00:00,1998-06-02 00:00:00,30
1998/06/03,-0.12460239383505493,1998-06-03 00:00:00,1998-06-10 00:00:00,6
1998/08/06,-0.09386552571825327,1998-08-06 00:00:00,1998-08-13 00:00:00,18
1998/08/26,-0.12086191067667545,1998-08-26 00:00:00,1998-09-01 00:00:00,7
1998/11/04,-0.09914299988470851,1998-11-04 00:00:00,1998-11-10 00:00:00,13
1999/01/20,-0.09704379727050191,1999-01-20 00:00:00,1999-01-25 00:00:00,15
1999/07/20,-0.09258574963398826,1999-07-20 00:00:00,1999-07-26 00:00:00,19
2000/01/03,-0.08661834963258923,2000-01-03 00:00:00,2000-01-06 00:00:00,24
2000/04/14,-0.08693646792342544,2000-04-14 00:00:00,2000-04-17 00:00:00,23
2000/05/16,-0.11389774414133792,2000-05-16 00:00:00,2000-05-26 00:00:00,11
2000/09/04,-0.11738034574395219,2000-09-04 00:00:00,2000-09-22 00:00:00,8
2001/09/11,-0.1547524828308101,2001-09-11 00:00:00,2001-09-18 00:00:00,3
2007/02/23,-0.09912307464589189,2007-02-23 00:00:00,2007-03-05 00:00:00,14
2007/08/14,-0.07555682855025264,2007-08-14 00:00:00,2007-08-17 00:00:00,33
2008/01/09,-0.08552472245726617,2008-01-09 00:00:00,2008-01-16 00:00:00,26
2008/01/17,-0.08704818989321204,2008-01-17 00:00:00,2008-01-22 00:00:00,21
2008/10/02,-0.08261973261127084,2008-10-02 00:00:00,2008-10-06 00:00:00,28
2008/10/14,-0.11737011995432994,2008-10-14 00:00:00,2008-10-17 00:00:00,9
2008/10/20,-0.17478161322593622,2008-10-20 00:00:00,2008-10-24 00:00:00,2
2008/11/14,-0.0825346476119013,2008-11-14 00:00:00,2008-11-20 00:00:00,29
2009/01/05,-0.0847070191753209,2009-01-05 00:00:00,2009-01-13 00:00:00,27
2011/08/01,-0.13033120080117694,2011-08-01 00:00:00,2011-08-11 00:00:00,5
2015/08/14,-0.08697439190816413,2015-08-14 00:00:00,2015-08-24 00:00:00,22
2016/04/21,-0.07767547740798034,2016-04-21 00:00:00,2016-05-06 00:00:00,31
