Date,drawdown,crash_st,crash_end,rank
1997/09/19,-0.12034909510375633,1997-09-19 00:00:00,1997-09-23 00:00:00,8
1998/08/13,-0.11108805494298607,1998-08-13 00:00:00,1998-08-17 00:00:00,14
1999/06/29,-0.10258593639840093,1999-06-29 00:00:00,1999-07-01 00:00:00,17
2001/07/20,-0.11896823822078051,2001-07-20 00:00:00,2001-07-31 00:00:00,11
2001/10/12,-0.10090136375537999,2001-10-12 00:00:00,2001-10-22 00:00:00,20
2007/01/29,-0.11296982201289306,2007-01-29 00:00:00,2007-02-05 00:00:00,12
2007/05/31,-0.10688319513387035,2007-05-31 00:00:00,2007-06-04 00:00:00,15
2008/01/18,-0.11982655848970757,2008-01-18 00:00:00,2008-01-22 00:00:00,9
2008/02/19,-0.10114320103877858,2008-02-19 00:00:00,2008-02-25 00:00:00,18
2008/03/11,-0.1192980124119959,2008-03-11 00:00:00,2008-03-18 00:00:00,10
2008/06/02,-0.17063787144224926,2008-06-02 00:00:00,2008-06-13 00:00:00,3
2008/08/07,-0.10650290834109516,2008-08-07 00:00:00,2008-08-14 00:00:00,16
2008/09/25,-0.129239969415691,2008-09-25 00:00:00,2008-10-10 00:00:00,6
2008/10/20,-0.12697784678090093,2008-10-20 00:00:00,2008-10-27 00:00:00,7
2008/12/19,-0.09792498437027349,2008-12-19 00:00:00,2008-12-31 00:00:00,22
2009/08/26,-0.10104136748114188,2009-08-26 00:00:00,2009-08-31 00:00:00,19
2013/06/18,-0.09692026292393012,2013-06-18 00:00:00,2013-06-27 00:00:00,23
2015/06/17,-0.09853949980968102,2015-06-17 00:00:00,2015-06-19 00:00:00,21
2015/06/24,-0.13584211300545337,2015-06-24 00:00:00,2015-06-29 00:00:00,5
2015/06/30,-0.13801179967137966,2015-06-30 00:00:00,2015-07-03 00:00:00,4
2015/07/23,-0.11176758526810612,2015-07-23 00:00:00,2015-07-28 00:00:00,13
2015/08/19,-0.22846492465465182,2015-08-19 00:00:00,2015-08-26 00:00:00,1
2016/01/25,-0.09625746824486141,2016-01-25 00:00:00,2016-01-28 00:00:00,24
2017/08/25,-0.1740107697617758,2017-08-25 00:00:00,2019-02-21 00:00:00,2
