Date,price,price_norm,%change,volatility
17/1/94,1104.14,0.637980447,-0.026451761,1.093806541
18/1/94,1110.22,0.641493517,0.005506548,1.105025525
19/1/94,1081.78,0.62506067,-0.025616544,1.078531846
20/1/94,1050.02,0.606709501,-0.029359019,0.838797806
21/1/94,1063.76,0.614648577,0.013085465,0.848052727
24/1/94,1064.55,0.615105045,0.000742649,0.816269899
25/1/94,1011.8,0.584625696,-0.049551454,0.731422683
26/1/94,1029.3101,0.594743165,0.01730589,0.701833001
27/1/94,1074.24,0.620704001,0.043650499,0.698244317
28/1/94,1090.0601,0.629844974,0.014726784,0.724749035
31/1/94,1106.99,0.639627199,0.015531162,0.706400115
2/2/94,1148.04,0.663346199,0.037082539,0.782969778
3/2/94,1150.2,0.664594264,0.001881468,0.843902407
4/2/94,1147.3199,0.66293012,-0.002503999,0.849675694
7/2/94,1094.02,0.632133034,-0.046456006,1.118646469
8/2/94,1108.72,0.640626806,0.013436683,1.137810238
14/2/94,1093.3,0.631717013,-0.01390793,0.999387544
15/2/94,1087.21,0.628198165,-0.005570292,1.031027266
16/2/94,1081.13,0.624685095,-0.005592296,1.03611338
17/2/94,1072.14,0.619490605,-0.008315374,1.016508781
18/2/94,1086,0.627499018,0.012927416,1.029184521
21/2/94,1086.91,0.628024823,0.000837937,1.044524447
22/2/94,1104.45,0.638159567,0.016137491,1.115173344
23/2/94,1141.05,0.659307324,0.033138666,1.114986095
24/2/94,1146.41,0.662404373,0.004697428,0.898313184
25/2/94,1124.11,0.649519264,-0.019452029,0.880518757
28/2/94,1125.63,0.650397532,0.001352181,0.927372996
1/3/94,1113.41,0.643336723,-0.010856143,0.885319964
2/3/94,1086.25,0.62764347,-0.02439353,0.874093156
3/3/94,1070.58,0.618589225,-0.014425777,0.849491292
4/3/94,1064.34,0.614983706,-0.005828616,0.852746846
7/3/94,1045.72,0.604224929,-0.01749441,0.793317369
8/3/94,1056.3,0.610338133,0.010117431,0.56476944
9/3/94,1056.4301,0.610413306,0.000123166,0.553345369
10/3/94,1046,0.604386715,-0.009872967,0.54103604
11/3/94,1047.48,0.60524187,0.001414914,0.470709888
17/3/94,1027.2,0.593523933,-0.019360752,0.491602895
18/3/94,1007.06,0.581886888,-0.019606698,0.488074691
21/3/94,954.18,0.551332424,-0.052509284,0.51389327
22/3/94,967.48,0.559017265,0.01393867,0.540492037
23/3/94,999.95,0.577778677,0.033561417,0.513097843
